symbol	value_at	price
AAPL	1601551740	117.451
AAPL	1601552100	117.451
AAPL	1601552160	117.451
AAPL	1601552520	117.461
AAPL	1601553300	117.47
AAPL	1601553540	117.491
AAPL	1601554740	117.45
AAPL	1601555460	117.586
AAPL	1601556000	117.851
AAPL	1601556360	117.99
AAPL	1601556660	117.949
AAPL	1601556720	117.751
AAPL	1601556960	117.751
AAPL	1601557080	117.63
AAPL	1601557500	117.62
AAPL	1601557620	117.61
AAPL	1601557800	117.509
AAPL	1601557860	117.589
AAPL	1601557980	117.511
AAPL	1601558040	117.489
AAPL	1601558100	117.45
AAPL	1601558280	117.511
AAPL	1601558340	117.48
AAPL	1601558400	117.504
AAPL	1601558700	117.501
AAPL	1601558880	117.74
AAPL	1601558940	117.68
AAPL	1601559000	117.67
AAPL	1601559060	117.16
AAPL	1601559120	117.22
AAPL	1601559180	116.95
AAPL	1601559240	116.93
AAPL	1601559300	117.025
AAPL	1601559360	116.92
AAPL	1601559420	116.76
AAPL	1601559480	116.68
AAPL	1601559540	116.71
AAPL	1601559600	116.75
AAPL	1601559660	116.61
AAPL	1601559720	116.72
AAPL	1601559780	116.85
AAPL	1601559840	117.01
AAPL	1601559900	117.02
AAPL	1601559960	116.82
AAPL	1601560020	116.619
AAPL	1601560080	116.7
AAPL	1601560140	116.71
AAPL	1601560200	116.679
AAPL	1601560260	116.44
AAPL	1601560320	116.39
AAPL	1601560380	116.26
AAPL	1601560440	116.24
AAPL	1601560500	116.18
AAPL	1601560560	116.285
AAPL	1601560620	116.41
AAPL	1601560680	116.52
AAPL	1601560740	116.45
AAPL	1601560800	116.36
AAPL	1601560860	116.33
AAPL	1601560920	116.37
AAPL	1601560980	116.84
AAPL	1601561040	116.85
AAPL	1601561100	116.9
AAPL	1601561160	116.92
AAPL	1601561220	116.78
AAPL	1601561280	116.65
AAPL	1601561340	116.425
AAPL	1601561400	116.5
AAPL	1601561460	116.63
AAPL	1601561520	116.34
AAPL	1601561580	116.38
AAPL	1601561640	116.44
AAPL	1601561700	116.66
AAPL	1601561760	116.69
AAPL	1601561820	116.61
AAPL	1601561880	116.77
AAPL	1601561940	116.81
AAPL	1601562000	116.79
AAPL	1601562060	116.845
AAPL	1601562120	116.82
AAPL	1601562180	116.735
AAPL	1601562240	116.7
AAPL	1601562300	116.53
AAPL	1601562360	116.55
AAPL	1601562420	116.47
AAPL	1601562480	116.47
AAPL	1601562540	116.53
AAPL	1601562600	116.65
AAPL	1601562660	116.62
AAPL	1601562720	116.74
AAPL	1601562780	116.73
AAPL	1601562840	116.84
AAPL	1601562900	116.88
AAPL	1601562960	116.89
AAPL	1601563020	116.88
AAPL	1601563080	116.94
AAPL	1601563140	116.88
AAPL	1601563200	116.9
AAPL	1601563260	116.75
AAPL	1601563320	116.74
AAPL	1601563380	116.76
AAPL	1601563440	116.735
AAPL	1601563500	116.82
AAPL	1601563560	116.75
AAPL	1601563620	116.765
AAPL	1601563680	116.67
AAPL	1601563740	116.78
AAPL	1601563800	116.63
AAPL	1601563860	116.64
AAPL	1601563920	116.76
AAPL	1601563980	116.91
AAPL	1601564040	116.89
AAPL	1601564100	116.8
AAPL	1601564160	116.75
AAPL	1601564220	116.595
AAPL	1601564280	116.575
AAPL	1601564340	116.61
AAPL	1601564400	116.78
AAPL	1601564460	116.56
AAPL	1601564520	116.555
AAPL	1601564580	116.56
AAPL	1601564640	116.61
AAPL	1601564700	116.73
AAPL	1601564760	116.61
AAPL	1601564820	116.605
AAPL	1601564880	116.54
AAPL	1601564940	116.41
AAPL	1601565000	116.43
AAPL	1601565060	116.25
